rank,original_hotspot_rank,cell_id,lon,lat,forest_region,loss_pct,gain_ratio,rank_score,l30_clear,s30_clear,hls_clear
33,75,45.0_-75.0,-72.49999999999989,47.47049239797635,Eastern Canadian boreal forest,8.55370640108,4.891891891892,0.189889253593,37,144,181
34,47,0.0_100.0,102.49999999999993,2.4995980548582457,Sundaland rainforests,11.100636742489,3.6,0.181350847296,40,104,144
35,24,60.0_125.0,127.49999999999996,62.438519724131545,East Siberian taiga,16.874036504299,2.357142857143,0.180498703062,98,133,231
36,22,-10.0_-50.0,-47.49999999999995,-7.498733781403767,Amazon-Cerrado frontier,13.867520652095,2.862244897959,0.180125337864,196,365,561
37,89,45.0_10.0,12.49999999999996,47.470492397976365,Central European mixed forests,11.428961545384,3.445945945946,0.178724639354,74,181,255
38,63,60.0_20.0,22.500000000000014,62.43851972413156,Fennoscandian taiga,17.262861697479,2.257731958763,0.176870078658,97,122,219
39,11,-5.0_-50.0,-47.49999999999995,-2.499598054858238,Amazon-Cerrado frontier,12.996038759426,2.987179487179,0.176173877669,78,155,233
40,4,-20.0_-65.0,-62.50000000000003,-17.496337881911348,Chiquitano dry forests,15.057903882794,2.575,0.175958783675,80,126,206
41,68,-10.0_30.0,32.50000000000004,-7.498733781403797,Southern Congo forests,13.003998327129,2.920289855072,0.17233443391,138,265,403
42,69,-15.0_30.0,32.500000000000036,-12.497687944083475,Southern Congo forests,14.445223316579,2.575757575758,0.168848980711,165,260,425
43,54,-10.0_-45.0,-42.49999999999999,-7.498733781403764,Global forest hotspot (approx.),12.65844914489,2.890756302521,0.166058526356,119,225,344
44,49,55.0_-120.0,-117.50000000000001,57.452181777122675,Western Canadian boreal forest,12.291536051749,2.934210526316,0.163669074751,76,147,223
45,43,-30.0_-55.0,-52.49999999999997,-27.489436690804077,Atlantic Forest frontier,11.649077485522,2.981132075472,0.157594823664,106,210,316
46,42,60.0_115.0,117.50000000000007,62.43851972413156,East Siberian taiga,13.234798309875,2.608695652174,0.156678692584,69,111,180
47,18,40.0_-125.0,-122.49999999999996,42.47685441192591,Pacific Northwest forests,16.666880207381,2.06862745098,0.156460889417,204,218,422
48,62,45.0_-70.0,-67.50000000000004,47.47049239797635,Eastern Canadian boreal forest,9.760352183805,3.474576271186,0.153899261301,59,146,205
49,46,55.0_-110.0,-107.50000000000007,57.452181777122675,Western Canadian boreal forest,13.520081256688,2.469696969697,0.151527747659,66,97,163
50,38,55.0_-115.0,-112.5,57.45218177712266,Western Canadian boreal forest,12.448207232249,2.637362637363,0.148986135833,91,149,240
51,25,-15.0_-60.0,-57.500000000000014,-12.497687944083482,Chiquitano dry forests,10.6693813541,2.979591836735,0.144266405542,98,194,292
52,13,-10.0_-55.0,-52.49999999999999,-7.498733781403776,Amazon-Cerrado frontier,10.516766375372,2.977777777778,0.142116239821,90,178,268
53,35,-15.0_35.0,37.49999999999999,-12.497687944083449,Southern Congo forests,11.882604756169,2.632075471698,0.141931628858,106,173,279
54,26,-10.0_15.0,17.499999999999957,-7.498733781403789,Southern Congo forests,9.292555186749,3.361111111111,0.141738298752,36,85,121
55,29,20.0_95.0,97.50000000000009,22.493268319499844,Indochina forests,11.659518734952,2.65306122449,0.14037736759,49,81,130
56,50,-15.0_15.0,17.49999999999998,-12.497687944083419,Southern Congo forests,9.990804476768,3.033613445378,0.137540277901,119,242,361
57,86,50.0_-75.0,-72.49999999999991,52.4624783862772,Eastern Canadian boreal forest,10.451457591099,2.886363636364,0.136898000301,44,83,127
58,74,-10.0_35.0,37.50000000000002,-7.498733781403778,Southern Congo forests,10.800685601796,2.768115942029,0.135676551971,69,122,191
59,78,50.0_-120.0,-117.50000000000004,52.46247838627721,Western Canadian boreal forest,9.745910678088,3.021276595745,0.133623274578,47,95,142
60,23,20.0_90.0,92.49999999999997,22.493268319499816,Indochina forests,14.749661465305,1.975806451613,0.132249990316,124,121,245
61,8,-5.0_100.0,102.49999999999993,-2.4995980548582466,Sundaland rainforests,15.074436668193,1.925531914894,0.13172281704,94,87,181
62,92,55.0_-105.0,-102.4999999999999,57.452181777122675,Western Canadian boreal forest,10.014131149928,2.884057971014,0.131064917274,69,130,199
63,33,-10.0_20.0,22.50000000000006,-7.498733781403814,Southern Congo forests,9.042867811853,3.075471698113,0.126208066788,53,110,163
64,44,-15.0_-70.0,-67.49999999999997,-12.497687944083422,Chiquitano dry forests,8.62641553416,3.145161290323,0.123123936812,62,133,195
65,60,20.0_110.0,112.5,22.493268319499798,Global forest hotspot (approx.),13.715131996296,1.962264150943,0.122131209647,53,51,104
66,57,30.0_-95.0,-92.49999999999999,32.486090514537416,Southeastern US pine forests,9.741729326284,2.758771929825,0.121961021782,228,401,629
67,34,15.0_-95.0,-92.49999999999997,17.496337881911362,Maya forests,13.430415740505,1.995780590717,0.121638609938,237,236,473
68,95,55.0_105.0,107.50000000000007,57.452181777122675,Global forest hotspot (approx.),8.481313468487,3.033898305085,0.116770551549,59,120,179
69,85,-25.0_-60.0,-57.500000000000014,-22.49326831949979,Atlantic Forest frontier,8.601225884965,2.971962616822,0.116003980798,107,211,318
70,93,5.0_-75.0,-72.5,7.498733781403789,Southwestern Amazon forests,7.939307134447,3.21875,0.115968234811,32,71,103
71,37,-5.0_25.0,27.49999999999996,-2.4995980548582346,Congo Basin forests,8.366685315291,3.027027027027,0.114931461828,37,75,112
72,39,-5.0_110.0,112.50000000000001,-2.499598054858247,Borneo rainforests,10.43999098413,2.384615384615,0.112976381935,26,36,62
73,67,-10.0_25.0,27.499999999999936,-7.498733781403797,Southern Congo forests,7.070903494584,3.513888888889,0.112754045244,72,181,253
74,96,50.0_25.0,27.499999999999986,52.462478386277226,Global forest hotspot (approx.),11.782369526936,2.058823529412,0.110083178176,102,108,210
75,84,45.0_-80.0,-77.50000000000003,47.470492397976365,Eastern Canadian boreal forest,7.875327851337,3.074324324324,0.109872124224,148,307,455
76,83,-10.0_-80.0,-77.50000000000003,-7.498733781403792,Southwestern Amazon forests,8.425199547952,2.814285714286,0.107601315062,70,127,197
77,82,0.0_110.0,112.50000000000001,2.499598054858247,Borneo rainforests,7.70992256278,3.037037037037,0.106259875206,27,55,82
78,21,0.0_25.0,27.499999999999975,2.499598054858234,Congo Basin forests,8.328719317036,2.762711864407,0.104419838293,59,104,163
79,27,-5.0_-55.0,-52.499999999999986,-2.499598054858245,Amazon-Cerrado frontier,8.406480882953,2.714285714286,0.103547349763,14,24,38
80,32,30.0_-85.0,-82.5,32.4860905145374,Southeastern US pine forests,11.631136946893,1.943946188341,0.102606672825,446,421,867
81,79,25.0_115.0,117.50000000000007,27.489436690804048,Southeast China subtropical forests,8.659327212763,2.6,0.102170776953,45,72,117
